Unnamed: 0,Artist,Title,Album,Year_x,Date,Lyric,Number,Top Genre,Year_y,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity,Index
0.0,Dua Lipa,New Rules,Dua Lipa,2017.0,2017-06-02,one one one one one   talkin' in my sleep at night makin' myself crazy out of my mind out of my mind wrote it down and read it out hopin' it would save me too many times too many times  refrain my love he makes me feel like nobody else nobody else but my love he doesn't love me so i tell myself i tell myself  pre one don't pick up the phone you know he's only callin' 'cause he's drunk and alone two don't let him in you'll have to kick him out again three don't be his friend you know you're gonna wake up in his bed in the morning and if you're under him you ain't gettin' over him   i got new rules i count 'em i got new rules i count 'em i gotta tell them to myself i got new rules i count 'em i gotta tell them to myself   i keep pushin' forwards but he keeps pullin' me backwards nowhere to turn no way nowhere to turn no now i'm standin' back from it i finally see the pattern i never learn i never learn  refrain but my love he doesn't love me so i tell myself i tell myself i do i do i do  pre one don't pick up the phone you know he's only callin' 'cause he's drunk and alone two don't let him in you'll have to kick him out again three don't be his friend you know you're gonna wake up in his bed in the morning and if you're under him you ain't gettin' over him   i got new rules i count 'em i got new rules i count 'em i gotta tell them to myself i got new rules i count 'em i gotta tell them to myself   practice makes perfect i'm still tryna learn it by heart i got new rules i count 'em eat sleep and breathe it rehearse and repeat it 'cause i i got new  pre one don't pick up the phone yeah you know he's only callin' 'cause he's drunk and alone alone two don't let him in uhooh you'll have to kick him out again again three don't be his friend you know you're gonna wake up in his bed in the morning and if you're under him you ain't gettin' over him   i got new rules i count 'em i got new rules i count 'em whoaooh whoaooh whoa i gotta tell them to myself i got new rules i count 'em baby you know i count 'em i gotta tell them to myself   don't let him in don't let him in don't don't don't don't don't be his friend don't be his friend don't don't don't don't don't let him in don't let him in don't don't don't don't don't be his friend don't be his friend don't don't don't don't you're gettin' over him,21.0,dance pop,2017,116,70,76,-6,15,61,209,0,7,83,
2.0,Dua Lipa,IDGAF,Dua Lipa,2017.0,2017-06-02,you call me all friendly tellin' me how much you miss me that's funny i guess you've heard my songs well i'm too busy for your business go find a girl who wants to listen 'cause if you think i was born yesterday you have got me wrong  pre so i cut you off i don't need your love 'cause i already cried enough i've been done i've been movin' on since we said goodbye i cut you off i don't need your love so you can try all you want your time is up i'll tell you why   you say you're sorry but it's too late now so save it get gone shut up 'cause if you think i care about you now well boy i don't give a fuck   i remember that weekend when my best friend caught you creepin' you blamed it all on the alcohol so i made my decision 'cause you made your bed sleep in it play the victim and switch your position i'm through i'm done  pre so i cut you off i don't need your love 'cause i already cried enough i've been done i've been movin' on since we said goodbye i cut you off i don't need your love so you can try all you want your time is up i'll tell you why   you say you're sorry but it's too late now so save it get gone shut up 'cause if you think i care about you now well boy i don't give a fuck  post i see you tryna get to me i see you beggin' on your knees boy i don't give a fuck so stop tryna get to me tch get up off your knees 'cause boy i don't give a fuck   about you no i don't give a damn you keep reminiscin' on when you were my man but i'm over you now you're all in the past you talk all that sweet talk but i ain't comin' back  breakdown cut you off i don't need your love so you can try all you want your time is up i'll tell you why i'll tell you why   you say you're sorry but it's too late now so save it get gone shut up too late now 'cause if you think i care about you now well boy i don't give a fuck boy i don't give a  post i see you tryna get to me i see you beggin' on your knees boy i don't give a fuck so stop tryna get to me get to me tch get up off your knees 'cause boy i don't give a fuck,26.0,dance pop,2017,97,54,84,-6,8,51,218,4,9,82,
4.0,Dua Lipa,Be the One,Dua Lipa,2015.0,2015-10-30,i see the moon i see the moon i see the moon oh when you're looking at the sun i'm not a fool i'm not a fool not a fool no you're not fooling anyone  pre oh but when you're gone when you're gone when you're gone oh baby all the lights go out thinking oh that baby i was wrong i was wrong i was wrong come back to me baby we can work this out   oh baby come on let me get to know you just another chance so that i can show that i won't let you down and run no i won't let you down and run 'cause i could be the one i could be the one i could be the one i could be the one   i see in blue i see in blue i see in blue oh when you see everything in red there is nothing that i wouldn't do for you do for you do for you oh 'cause you got inside my head  pre oh but when you're gone when you're gone when you're gone oh baby all the lights go out thinking oh that baby i was wrong i was wrong i was wrong come back to me baby we can work this out   oh baby come on let me get to know you just another chance so that i can show that i won't let you down and run no i won't let you down and run 'cause i could be the one i could be the one i could be the one   be the one be the one be the one be the one be the one be the one i could be the one be the one be the one be the one be the one be the one be the one i could be the one be the one be the one be the one be the one be the one be the one i could be the one be the one be the one be the one be the one be the one be the one will you be mine   oh baby come on let me get to know you just another chance so that i can show that i won't let you down and run no i won't let you down and run 'cause i could be the one i could be the one i could be the one,,dance pop,2015,87,65,66,-4,6,37,203,12,5,73,642.0
6.0,Dua Lipa,Homesick,Dua Lipa,2017.0,2017-06-02,dua lipa here where the sky's falling i'm covered in blue i'm running and i'm crawling fighting for you when the rain stops then darling what will i do and i know i go all in but why do i   dua lipa you give me a reason something to believe in i know i know i know you give me a meaning something i can breathe in i know i know i know it's a bittersweet feeling longing and i'm leaving i go i go i go but i wish i was there with you oh i wish i was there with you   dua lipa  chris martin there's a crack in my window a bird in my room angels all over that watch over you when i'm walking on water all my dreams have come true still nothing means nothing without you you   dua lipa  chris martin you give me a reason something to believe in i know i know i know you give me a meaning something i can breathe in i know i know i know it's a bittersweet feeling longing and i'm leaving i go i go i go tell my heart to lie but i know deep inside it's true that i wish i was there with you that i wish i was there with you oh i wish i was there with you   break   dua lipa  chris martin you give me a reason something to believe in i know i know i know you give me a meaning something i can breathe in i know i know i know it's a bittersweet feeling longing and i'm leaving i go i go i go tell my heart to lie but i know deep inside it's true that i wish i was there with you that i wish i was there with you oh i wish i was there with you,,dance pop,2017,86,22,43,-9,11,40,230,95,4,71,721.0
,Ariana Grande,7 rings,"thank u, next",2019,2019-01-18,yeah breakfast at tiffany's and bottles of bubbles girls with tattoos who like getting in trouble lashes and diamonds atm machines buy myself all of my favorite things yeah been through some bad shit i should be a sad bitch who woulda thought it'd turn me to a savage rather be tied up with calls and not strings write my own checks like i write what i sing yeah yeah  pre my wrist stop watchin' my neck is flossy make big deposits my gloss is poppin' you like my hair gee thanks just bought it i see it i like it i want it i got it yeah   i want it i got it i want it i got it i want it i got it i want it i got it you like my hair gee thanks just bought it i see it i like it i want it i got it yep   wearing a ring but ain't gon' be no mrs bought matching diamonds for six of my bitches i'd rather spoil all my friends with my riches think retail therapy my new addiction whoever said money can't solve your problems must not have had enough money to solve 'em they say which one i say nah i want all of 'em happiness is the same price as redbottoms  pre my smile is beamin' yeah my skin is gleamin' is gleamin' the way it shine i know you've seen it you've seen it i bought a crib just for just for the closet closet both his and hers i want it i got it yeah   i want it i got it i want it i got it i want it i got it i want it i got it baby you like my hair gee thanks just bought it oh yeah i see it i like it i want it i got it yep   yeah my receipts be lookin' like phone numbers if it ain't money then wrong number black card is my business card the way it be settin' the tone for me i don't mean to brag but i be like put it in the bag yeah when you see them racks they stacked up like my ass yeah shoot go from the store to the booth make it all back in one loop gimme the loot never mind i got the juice nothing but net when we shoot look at my neck look at my jet ain't got enough money to pay me respect ain't no budget when i'm on the set if i like it then that's what i get yeah   i want it i got it i want it i got it oh yeah i want it i got it i want it i got it oh yeah yeah you like my hair gee thanks just bought it i see it i like it i want it i got it i see yep,2.0,dance pop,2019,140,32,78,-11,9,33,179,59,33,90,
,Ariana Grande,One Last Time,My Everything,2014,2014-08-25,i was a liar i gave in to the fire i know i should've fought it at least i'm being honest feel like a failure 'cause i know that i failed you i should've done you better 'cause you don't want a liar  pre and i know and i know and i know she gives you everything but boy i couldn't give it to you and i know and i know and i know that you got everything but i got nothing here without you   so one last time i need to be the one who takes you home one more time i promise after that i'll let you go baby i don't care if you got her in your heart all i really care is you wake up in my arms one last time i need to be the one who takes you home   i don't deserve it i know i don't deserve it but stay with me a minute i swear i'll make it worth it can't you forgive me at least just temporarily i know that this is my fault i should have been more careful  pre and i know and i know and i know she gives you everything but boy i couldn't give it to you and i know and i know and i know that you got everything but i got nothing here without you baby   so one last time i need to be the one who takes you home one more time i promise after that i'll let you go baby i don't care if you got her in your heart all i really care is you wake up in my arms one last time i need to be the one who takes you home   yeah i know i should've fought it at least i'm being honest yeah but stay with me a minute i swear i'll make it worth it yeah 'cause i don't wanna be without you   so one last time i need to be the one who takes you home takes you home babe one more time i promise after that i'll let you go baby i don't care if you got her in your heart babe all i really care is you wake up in my arms one last time i need to be the one who takes you home yeah   one last time i need to be the one who takes you home,43.0,dance pop,2014,125,59,63,-5,10,10,197,9,3,79,
0.0,Charlie Puth,Attention,Voicenotes,2017.0,2017-04-21,woahoh hmhmm   you've been runnin' 'round runnin' 'round runnin' 'round throwin' that dirt all on my name 'cause you knew that i knew that i knew that i'd call you up you've been going 'round going 'round going 'round every party in la 'cause you knew that i knew that i knew that i'd be at one oh  pre i know that dress is karma perfume regret you got me thinking 'bout when you were mine ooh and now i'm all up on ya what you expect but you're not coming home with me tonight   you just want attention you don't want my heart maybe you just hate the thought of me with someone new yeah you just want attention i knew from the start you're just making sure i'm never gettin' over you oh   you've been runnin' 'round runnin' 'round runnin' 'round throwin' that dirt all on my name 'cause you knew that i knew that i knew that i'd call you up baby now that we're now that we're now that we're right here standin' face to face you already know 'ready know 'ready know that you won oh  pre i know that dress is karma dress is karma perfume regret yeah you got me thinking 'bout when you were mine ooh you got me thinking 'bout when you were mine and now i'm all up on ya all up on ya what you expect oh baby but you're not coming home with me tonight oh no   you just want attention you don't want my heart maybe you just hate the thought of me with someone new one new yeah you just want attention oh i knew from the start the start you're just making sure i'm never gettin' over you over you oh   what are you doin' to me what are you doin' huh what are you doin' what are you doin' to me what are you doin' huh what are you doin' what are you doin' to me what are you doin' huh what are you doin' what are you doin' to me what are you doin' huh  pre i know that dress is karma perfume regret you got me thinking 'bout when you were mine and now i'm all up on ya what you expect but you're not coming home with me tonight   you just want attention you don't want my heart maybe you just hate the thought of me with someone new yeah you just want attention i knew from the start you're just making sure i'm never gettin' over you over you   what are you doin' to me hey what are you doin' huh what are you doin' love what are you doin' to me what are you doin' huh yeah you just want attention what are you doin' to me i knew from the start what are you doin' huh you're just making sure i'm never gettin' over you what are you doin' to me what are you doin' huh,25.0,dance pop,2018,100,61,78,-5,13,80,209,11,5,82,
1.0,Drake,In My Feelings,Scorpion,2018.0,2018-06-29,drake trap trapmoneybenny this shit got me in my feelings gotta be real with it yeah   drake kiki do you love me are you riding say you'll never ever leave from beside me 'cause i want ya and i need ya and i'm down for you always kb do you love me are you riding say you'll never ever leave from beside me 'cause i want ya and i need ya and i'm down for you always  drake look the new me is really still the real me i swear you gotta feel me before they try and kill me they gotta make some choices they runnin' out of options 'cause i've been goin' off and they don't know when it's stoppin' and when you get to toppin' i see that you've been learnin' and when you get to shoppin' you spend it like you earned it and when you popped off on your ex he deserved it i thought you were the one from the jump that confirmed it trapmoneybenny i buy you champagne but you love some henny from the block like you jenny i know you special girl 'cause i know too many   drake 'resha do you love me are you riding say you'll never ever leave from beside me 'cause i want ya and i need ya and i'm down for you always jt do you love me are you riding say you'll never ever leave from beside me 'cause i want ya and i need ya and i'm down for you always  interlude jt yung miami drake  magnolia shorty two bad bitches and we kissin' in the wraith kissin'kissin' in the wraith kisskissin' in the wraith i need that black card and the code to the safe code to the safe codecode to the safesafe i show him how that neck work fuck that netflix and chillwhat's your netnetnet worth 'cause i want ya and i need ya and i'm down for you always yeah yeah yeah yeah he bad and i'm down for you always yeah yeah yeah guess who's back and i'm down for you always ddown for you al black biggy biggy black biggy black blake dddown for you always i got a new boy and that nigga trade   drake kiki do you love me are you riding say you'll never ever leave from beside me 'cause i want you and i need you and i'm down for you always kb do you love me are you riding say you'll never ever leave from beside me 'cause i want ya and i  breakdown lil wayne  magnolia shorty skate and smoke and rap now let me see you bring that ass bring that ass bring that ass back bbring that ass bring that ass bring that ass back shawty say the nigga that she with can't hit but shawty i'ma hit it hit it like i can't miss now let me see you clap that ass you're the only one i love clap that ass clapclap that ass bring that ass back clapclapclap that ass you're the only one i love let's go let's go let's go bring that ass back   drake trap trapmoneybenny this shit got me in my feelings gotta be real with it yup blaqnmild you a genius you diggin' me  skit zazie beetz i don't even care i need a photo with drake because my instagram is weak as fuck i'm just being real my shit look,17.0,canadian hip hop,2018,91,63,84,-6,40,35,218,6,13,83,
4.0,Eminem,The Monster,The Marshall Mathers LP2 (Deluxe),2013.0,2013-10-29,rihanna i'm friends with the monster that's under my bed get along with the voices inside of my head you're tryin' to save me stop holdin' your breath and you think i'm crazy yeah you think i'm crazy   eminem i wanted the fame but not the cover of newsweek oh well guess beggars can't be choosey wanted to receive attention for my music wanted to be left alone in public excuse me for wantin' my cake and eat it too and wantin' it both ways fame made me a balloon 'cause my ego inflated when i blew see but it was confusing 'cause all i wanted to do's be the bruce lee of loose leaf abused ink used it as a tool when i blew steam whoo hit the lottery oohwee but with what i gave up to get it was bittersweet it was like winnin' a used mink ironic 'cause i think i'm gettin' so huge i need a shrink i'm beginnin' to lose sleep one sheep two sheep goin' coocoo and kooky as kool keith but i'm actually weirder than you think 'cause i'm   rihanna  bebe rexha i'm friends with the monster that's under my bed get along with the voices inside of my head you're tryin' to save me stop holdin' your breath and you think i'm crazy yeah you think i'm crazy well that's nothin' oohoohoohooh oohoohoohooh oohoohoohooh well that's nothin' oohoohoohooh oohoohoohooh oohoohoohooh oohoohoohooh   eminem now i ain't much of a poet but i know somebody once told me to seize the moment and don't squander it 'cause you never know when it all could be over tomorrow so i keep conjurin' sometimes i wonder where these thoughts spawn from yeah ponderin'll do you wonders no wonder you're losin' your mind the way it wanders yodelodelayheehoo i think it went wanderin' off down yonder and stumbled onto jeff vanvonderen 'cause i need an interventionist to intervene between me and this monster and save me from myself and all this conflict 'cause the very thing that i love's killin' me and i can't conquer it my ocd's conkin' me in the head keep knockin' nobody's home i'm sleepwalkin' i'm just relayin' what the voice in my head's sayin' don't shoot the messenger i'm just friends with the   rihanna  bebe rexha i'm friends with the monster that's under my bed get along with the voices inside of my head you're tryin' to save me stop holdin' your breath and you think i'm crazy yeah you think i'm crazy well that's nothin' oohoohoohooh oohoohoohooh oohoohoohooh well that's nothin' oohoohoohooh oohoohoohooh oohoohoohooh oohoohoohooh   eminem call me crazy but i have this vision one day that i'll walk amongst you a regular civilian but until then drums get killed and i'm comin' straight at mc's blood gets spilled and i'll take you back to the days that i'd get on a dre track give every kid who got played that pumpedup feelin' and shit to say back to the kids who played him i ain't here to save the fuckin' children but if one kid out of a hundred million who are goin' through a struggle feels it and relates that's great it's payback russell wilson fallin' way back in the draft turn nothin' into somethin' still can make that straw into gold chump i will spinrumpelstiltskin in a haystack maybe i need a straightjacket face facts i am nuts for real but i'm okay with that it's nothin' i'm still friends with the   rihanna i'm friends with the monster that's under my bed get along with the voices inside of my head you're tryin' to save me stop holdin' your breath and you think i'm crazy yeah you think i'm crazy   rihanna  eminem i'm friends with the monster that's under my bed get along with get along with the voices inside of my head you're tryin' to you're tryin' to save me stop holdin' your breath and you think and you think i'm crazy yeah you think i'm crazy well that's nothin'   rihanna  bebe rexha oohoohoohooh oohoohoohooh oohoohoohooh well that's nothin' oohoohoohooh oohoohoohooh oohoohoohooh oohoohoohooh,,detroit hip hop,2013,110,85,78,-4,12,62,250,5,7,75,547.0
10.0,Eminem,Stan,The Marshall Mathers LP,2000.0,2000-05-23,produced by mark the 45 king   dido my tea's gone cold i'm wondering why i got out of bed at all the morning rain clouds up my window and i can't see at all and even if i could it'd all be gray but your picture on my wall it reminds me that it's not so bad it's not so bad my tea's gone cold i'm wondering why i got out of bed at all the morning rain clouds up my window and i can't see at all and even if i could it'd all be gray but your picture on my wall it reminds me that it's not so bad it's not so bad   eminem as stan dear slim i wrote you but you still ain't callin' i left my cell my pager and my home phone at the bottom i sent two letters back in autumn you must not've got 'em there probably was a problem at the post office or somethin' sometimes i scribble addresses too sloppy when i jot 'em but anyways fuck it what's been up man how's your daughter my girlfriend's pregnant too i'm 'bout to be a father if i have a daughter guess what i'ma call her i'ma name her bonnie i read about your uncle ronnie too i'm sorry i had a friend kill himself over some bitch who didn't want him i know you probably hear this every day but i'm your biggest fan i even got the underground shit that you did with skam i got a room full of your posters and your pictures man i like the shit you did with rawkus too that shit was phat anyways i hope you get this man hit me back just to chat truly yours your biggest fan this is stan   dido my tea's gone cold i'm wondering why i got out of bed at all the morning rain clouds up my window and i can't see at all and even if i could it'd all be gray but your picture on my wall it reminds me that it's not so bad it's not so bad   eminem as stan dear slim you still ain't called or wrote i hope you have a chance i ain't mad i just think it's fucked up you don't answer fans if you didn't want to talk to me outside your concert you didn't have to but you coulda signed an autograph for matthew that's my little brother man he's only six years old we waited in the blisterin' cold for you for four hours and you just said no that's pretty shitty man you're like his fuckin' idol he wants to be just like you man he likes you more than i do i ain't that mad though i just don't like bein' lied to remember when we met in denver you said if i'd write you you would write back see i'm just like you in a way i never knew my father neither he used to always cheat on my mom and beat her i can relate to what you're sayin' in your songs so when i have a shitty day i drift away and put 'em on cause i don't really got shit else so that shit helps when i'm depressed i even got a tattoo with your name across the chest sometimes i even cut myself to see how much it bleeds it's like adrenaline the pain is such a sudden rush for me see everything you say is real and i respect you cause you tell it my girlfriend's jealous 'cause i talk about you 47 but she don't know you like i know you slim no one does she don't know what it was like for people like us growin' up you gotta call me man i'll be the biggest fan you'll ever lose sincerely yours stanps we should be together too   dido my tea's gone cold i'm wondering why i got out of bed at all the morning rain clouds up my window and i can't see at all and even if i could it'd all be gray but your picture on my wall it reminds me that it's not so bad it's not so bad   eminem as stan dear mr i'mtoogoodtocallorwritemyfans this'll be the last package i ever send your ass it's been six months and still no wordi don't deserve it i know you got my last two letters i wrote the addresses on 'em perfect so this is my cassette i'm sendin' you i hope you hear it i'm in the car right now i'm doin' 90 on the freeway hey slim i drank a fifth of vodka you dare me to drive you know the song by phil collins in the air of the night about that guy who coulda saved that other guy from drownin' but didn't then phil saw it all then at a show he found him that's kinda how this is you coulda rescued me from drownin' now it's too late i'm on a thousand downers nowi'm drowsy and all i wanted was a lousy letter or a call i hope you know i ripped all of your pictures off the wall i loved you slim we coulda been togetherthink about it you ruined it now i hope you can't sleep and you dream about it and when you dream i hope you can't sleep and you scream about it i hope your conscience eats at you and you can't breathe without me see slimshut up bitch i'm tryin' to talk hey slim that's my girlfriend screamin' in the trunk but i didn't slit her throat i just tied her upsee i ain't like you cause if she suffocates she'll suffer more and then she'll die too well gotta go i'm almost at the  now oh shit i forgothow am i supposed to send this shit out   dido my tea's gone cold i'm wondering why i got out of bed at all the morning rain clouds up my window and i can't see at all and even if i could it'd all be gray but your picture on my wall it reminds me that it's not so bad it's not so bad  4 eminem dear stan i meant to write you sooner but i just been busy you said your girlfriend's pregnant now how far along is she look i'm really flattered you would call your daughter that and here's an autograph for your brother i wrote it on a starter cap i'm sorry i didn't see you at the show i must've missed you don't think i did that shit intentionally just to diss you but what's this shit you said about you like to cut your wrists too i say that shit just clownin' dawg come on how fucked up is you you got some issues stan i think you need some counselin' to help your ass from bouncin' off the walls when you get down some and what's this shit about us meant to be together that type of shit'll make me not want us to meet each other i really think you and your girlfriend need each other or maybe you just need to treat her better i hope you get to read this letter i just hope it reaches you in time before you hurt yourself i think that you'll be doin' just fine if you relax a little i'm glad i inspire you but stan why are you so mad try to understand that i do want you as a fan i just don't want you to do some crazy shit i seen this one shit on the news a couple weeks ago that made me sick some dude was drunk and drove his car over a  and had his girlfriend in the trunk and she was pregnant with his kid and in the car they found a tape but they didn't say who it was to come to think about it his name wasit was you   damn,,detroit hip hop,2000,80,77,78,-4,52,51,404,4,24,75,220.0
