Artist,Title,Album,Date,Lyric,Top Genre
Ariana Grande,7 rings,"thank u, next",2019-01-18,yeah breakfast at tiffany's and bottles of bubbles girls with tattoos who like getting in trouble lashes and diamonds atm machines buy myself all of my favorite things yeah been through some bad shit i should be a sad bitch who woulda thought it'd turn me to a savage rather be tied up with calls and not strings write my own checks like i write what i sing yeah yeah  pre my wrist stop watchin' my neck is flossy make big deposits my gloss is poppin' you like my hair gee thanks just bought it i see it i like it i want it i got it yeah   i want it i got it i want it i got it i want it i got it i want it i got it you like my hair gee thanks just bought it i see it i like it i want it i got it yep   wearing a ring but ain't gon' be no mrs bought matching diamonds for six of my bitches i'd rather spoil all my friends with my riches think retail therapy my new addiction whoever said money can't solve your problems must not have had enough money to solve 'em they say which one i say nah i want all of 'em happiness is the same price as redbottoms  pre my smile is beamin' yeah my skin is gleamin' is gleamin' the way it shine i know you've seen it you've seen it i bought a crib just for just for the closet closet both his and hers i want it i got it yeah   i want it i got it i want it i got it i want it i got it i want it i got it baby you like my hair gee thanks just bought it oh yeah i see it i like it i want it i got it yep   yeah my receipts be lookin' like phone numbers if it ain't money then wrong number black card is my business card the way it be settin' the tone for me i don't mean to brag but i be like put it in the bag yeah when you see them racks they stacked up like my ass yeah shoot go from the store to the booth make it all back in one loop gimme the loot never mind i got the juice nothing but net when we shoot look at my neck look at my jet ain't got enough money to pay me respect ain't no budget when i'm on the set if i like it then that's what i get yeah   i want it i got it i want it i got it oh yeah i want it i got it i want it i got it oh yeah yeah you like my hair gee thanks just bought it i see it i like it i want it i got it i see yep,dance pop
Ariana Grande,One Last Time,My Everything,2014-08-25,i was a liar i gave in to the fire i know i should've fought it at least i'm being honest feel like a failure 'cause i know that i failed you i should've done you better 'cause you don't want a liar  pre and i know and i know and i know she gives you everything but boy i couldn't give it to you and i know and i know and i know that you got everything but i got nothing here without you   so one last time i need to be the one who takes you home one more time i promise after that i'll let you go baby i don't care if you got her in your heart all i really care is you wake up in my arms one last time i need to be the one who takes you home   i don't deserve it i know i don't deserve it but stay with me a minute i swear i'll make it worth it can't you forgive me at least just temporarily i know that this is my fault i should have been more careful  pre and i know and i know and i know she gives you everything but boy i couldn't give it to you and i know and i know and i know that you got everything but i got nothing here without you baby   so one last time i need to be the one who takes you home one more time i promise after that i'll let you go baby i don't care if you got her in your heart all i really care is you wake up in my arms one last time i need to be the one who takes you home   yeah i know i should've fought it at least i'm being honest yeah but stay with me a minute i swear i'll make it worth it yeah 'cause i don't wanna be without you   so one last time i need to be the one who takes you home takes you home babe one more time i promise after that i'll let you go baby i don't care if you got her in your heart babe all i really care is you wake up in my arms one last time i need to be the one who takes you home yeah   one last time i need to be the one who takes you home,dance pop
Beyoncé,If I Were a Boy,I Am... Sasha Fierce,2008-10-12,if i were a boy even just for a day i'd roll out of bed in the morning and throw on what i wanted then go drink beer with the guys and chase after girls i'd kick it with who i wanted and i'd never get confronted for it 'cause they'd stick up for me   if i were a boy i think i could understand how it feels to love a girl i swear i'd be a better man i'd listen to her 'cause i know how it hurts when you lose the one you wanted 'cause he's taken you for granted and everything you had got destroyed   if i were a boy i would turn off my phone tell everyone it's broken so they'd think that i was sleepin' alone i'd put myself first and make the rules as i go 'cause i'd know that she'd be faithful waitin' for me to come home to come home   if i were a boy i think i could understand how it feels to love a girl i swear i'd be a better man i'd listen to her 'cause i know how it hurts when you lose the one you wanted wanted 'cause he's taken you for granted granted and everything you had got destroyed   it's a little too late for you to come back say it's just a mistake think i'd forgive you like that if you thought i would wait for you you thought wrong   but you're just a boy you don't understand yeah you don't understand oh how it feels to love a girl someday you'll wish you were a better man you don't listen to her you don't care how it hurts until you lose the one you wanted 'cause you've taken her for granted and everything you have got destroyed but you're just a boy,dance pop
Beyoncé,Halo,I Am... Sasha Fierce,2009-02-20,remember those walls i built well baby they're tumblin' down and they didn't even put up a fight they didn't even make a sound i found a way to let you in but i never really had a doubt standin' in the light of your halo i got my angel now  pre it's like i've been awakened every rule i had you breakin' it's the risk that i'm takin' i ain't never gonna shut you out   everywhere i'm lookin' now i'm surrounded by your embrace baby i can see your halo you know you're my savin' grace you're everything i need and more it's written all over your face baby i can feel your halo pray it won't fade away  post i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo halo   hit me like a ray of sun burnin' through my darkest night you're the only one that i want think i'm addicted to your light i swore i'd never fall again but this don't even feel like fallin' gravity can't begin to pull me back to the ground again  pre it's like i've been awakened every rule i had you breakin' the risk that i'm takin' i'm never gonna shut you out   everywhere i'm lookin' now i'm surrounded by your embrace baby i can see your halo you know you're my savin' grace you're everything i need and more it's written all over your face baby i can feel your halo pray it won't fade away  post i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo halo halo ooh   everywhere i'm lookin' now i'm surrounded by your embrace baby i can see your halo you know you're my savin' grace you're everything i need and more it's written all over your face baby i can feel your halo pray it won't fade away  post i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo halo oh oh i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo halo,dance pop
Beyoncé,Single Ladies (Put a Ring on It),I Am... Sasha Fierce,2008-09-13,produced by beyoncé thedream  tricky stewart   all the single ladies all the single ladies all the single ladies all the single ladies all the single ladies all the single ladies all the single ladies now put your hands up   up in the club club just broke up up im doing my own little thing decided to dip dip but now you wanna trip trip 'cause another brother noticed me im up on him him he up on me me dont pay him any attention cried my tears tears for three good years years you cant be mad at me   'cause if you like it then you shoulda put a ring on it if you like it then you shoulda put a ring on it dont be mad once you see that he want it if you like it then you shoulda put a ring on it whoa oh oh oh ohoh oh oh oh oh oh oh whoa oh oh oh ohoh oh oh oh oh oh oh 'cause if you like it then you shoulda put a ring on it if you like it then you shoulda put a ring on it dont be mad once you see that he want it if you like it then you shoulda put a ring on it   i got gloss on my lips lips a man on my hips hips hold me tighter than my deréon jeans acting up up drink in my cup cup i can't care less what you think i need no permission did i mention dont pay him any attention 'cause you had your turn turn but now you gon' learn what it really feels like to miss me   'cause if you like it then you shoulda put a ring on it if you like it then you shoulda put a ring on it dont be mad once you see that he want it if you like it then you shoulda put a ring on it whoa oh oh oh ohoh oh oh oh oh oh oh whoa oh oh oh ohoh oh oh oh oh oh oh 'cause if you like it then you shoulda put a ring on it if you like it then you shoulda put a ring on it dont be mad once you see that he want it if you like it then you shoulda put a ring on it whoa oh oh oh ohoh oh oh oh oh oh oh whoa oh oh oh ohoh oh oh oh oh oh oh   don't treat me to the things of the world im not that kind of girl your love is what i prefer what i deserve heres a man that makes me then takes me and delivers me to a destiny to infinity and beyond pull me into your arms say im the one you want if you dont youll be alone and like a ghost ill be gone   all the single ladies all the single ladies all the single ladies all the single ladies all the single ladies all the single ladies all the single ladies now put your hands up whoa oh oh oh ohoh oh oh oh oh oh oh whoa oh oh oh ohoh oh oh oh oh oh oh whoa oh oh oh   'cause if you like it then you shoulda put a ring on it if you like it then you shoulda put a ring on it dont be mad once you see that he want it if you like it then you shoulda put a ring on it whoa oh oh oh 'cause if you like it then you shoulda put a ring on it if you like it then you shoulda put a ring on it dont be mad once you see that he want it if you like it then you shoulda put a ring on it whoa oh oh,dance pop
Beyoncé,Run the World (Girls),4,2011-04-21,girls we run this mutha yeah girls we run this mutha yeah girls we run this mutha yeah girls we run this mutha girls   who run the world girls who run the world girls who run the world girls who run the world girls who run this mutha girls who run this mutha girls who run this mutha girls who run this mutha girls who run the world girls who run the world girls who run the world girls who run the world girls   some of them men think they freak this like we do but no they don't make your check come at they neck disrespect us no they won't boy don't even try to touch this touch this boy this beat is crazy crazy this is how they made me made me houston texas baby this goes out to all my girls that's in the club rocking the latest who will buy it for themselves and get more money later i think i need a barber none of these niggas can fade me i'm so good with this i remind you i'm so hood with this boy i'm just playing come here baby hope you still like me fu pay me  pre my persuasion can build a nation endless power with our love we can devour you'll do anything for me   who run the world girls girls who run the world girls who run the world girls who run the world girls who run the world girls who run this mutha girls who run this mutha girls who run this mutha girls who run the world girls who run the world girls who run the world girls who run the world girls girls   it's hot up in here dj don't be scared to run this run this back i'm repping for the girls who taking over the world help me raise a glass for the college grads 4' rollie to let you know what time it is check you can't hold me you can't hold me i work my nine to five and i cut my check this goes out to all the women getting it in get on your grind to the other men that respect what i do please accept my shine boy you know you love it how we're smart enough to make these millions strong enough to bear the children children then get back to business see you better not play me me oh come here baby hope you still like me fu pay me  pre my persuasion can build a nation endless power with our love we can devour you'll do anything for me   who run the world girls girls who run the world girls who run the world girls who run the world girls who run the world girls who run this mutha girls who run this mutha girls who run this mutha girls who run this mutha girls who run the world girls who run the world girls who run the world girls who run the world girls   who are we what we run the world who run this mutha yeah who are we what we run the world who run this mutha yeah who are we what do we run we run the world who run this mutha yeah who are we what we run we run the world who run the world girls girls,dance pop
Charlie Puth,Attention,Voicenotes,2017-04-21,woahoh hmhmm   you've been runnin' 'round runnin' 'round runnin' 'round throwin' that dirt all on my name 'cause you knew that i knew that i knew that i'd call you up you've been going 'round going 'round going 'round every party in la 'cause you knew that i knew that i knew that i'd be at one oh  pre i know that dress is karma perfume regret you got me thinking 'bout when you were mine ooh and now i'm all up on ya what you expect but you're not coming home with me tonight   you just want attention you don't want my heart maybe you just hate the thought of me with someone new yeah you just want attention i knew from the start you're just making sure i'm never gettin' over you oh   you've been runnin' 'round runnin' 'round runnin' 'round throwin' that dirt all on my name 'cause you knew that i knew that i knew that i'd call you up baby now that we're now that we're now that we're right here standin' face to face you already know 'ready know 'ready know that you won oh  pre i know that dress is karma dress is karma perfume regret yeah you got me thinking 'bout when you were mine ooh you got me thinking 'bout when you were mine and now i'm all up on ya all up on ya what you expect oh baby but you're not coming home with me tonight oh no   you just want attention you don't want my heart maybe you just hate the thought of me with someone new one new yeah you just want attention oh i knew from the start the start you're just making sure i'm never gettin' over you over you oh   what are you doin' to me what are you doin' huh what are you doin' what are you doin' to me what are you doin' huh what are you doin' what are you doin' to me what are you doin' huh what are you doin' what are you doin' to me what are you doin' huh  pre i know that dress is karma perfume regret you got me thinking 'bout when you were mine and now i'm all up on ya what you expect but you're not coming home with me tonight   you just want attention you don't want my heart maybe you just hate the thought of me with someone new yeah you just want attention i knew from the start you're just making sure i'm never gettin' over you over you   what are you doin' to me hey what are you doin' huh what are you doin' love what are you doin' to me what are you doin' huh yeah you just want attention what are you doin' to me i knew from the start what are you doin' huh you're just making sure i'm never gettin' over you what are you doin' to me what are you doin' huh,dance pop
Coldplay,The Scientist,A Rush of Blood to the Head,2002-08-26,come up to meet you tell you i'm sorry you don't know how lovely you are i had to find you tell you i need you tell you i set you apart tell me your secrets and ask me your questions oh let's go back to the start running in circles coming up tails heads on a science apart   nobody said it was easy it's such a shame for us to part nobody said it was easy no one ever said it would be this hard oh take me back to the start   i was just guessing at numbers and figures pulling the puzzles apart questions of science science and progress do not speak as loud as my heart tell me you love me come back and haunt me oh and i rush to the start running in circles chasing our tails coming back as we are   nobody said it was easy oh it's such a shame for us to part nobody said it was easy no one ever said it would be so hard i'm going back to the start   ohooh oohoohoohooh ahooh oohoohoohooh ohooh oohoohoohooh ohooh oohoohoohooh,permanent wave
Coldplay,Fix You,X&Y,2005-06-06,chris martin when you try your best but you don't succeed when you get what you want but not what you need when you feel so tired but you can't sleep stuck in reand the tears come streaming down your face when you lose something you can't replace when you love someone but it goes to waste could it be worse   chris chris  will lights will guide you home and ignite your bones and i will try to fix you   chris martin and high up above or down below when you're too in love to let it go but if you never try you'll never know just what you're worth   chris  will lights will guide you home and ignite your bones and i will try to fix you     breakdown chris jonny guy will tears stream down your face when you lose something you cannot replace tears stream down your face and i tears stream down your face i promise you i will learn from my mistakes tears stream down your face and i   chris martin lights will guide you home and ignite your bones and i will try to fix you,permanent wave
Coldplay,Yellow,Parachutes,2000-06-26,chris martin look at the stars look how they shine for you and everything you do yeah they were all yellow i came along i wrote a song for you and all the things you do and it was called yellow so then i took my turn oh what a thing to have done and it was all yellow    chris jonny  will aah your skin oh yeah your skin and bones ooh turn into something beautiful aah you know you know i love you so you know i love you so   chris martin i swam across i jumped across for you oh what a thing to do 'cause you were all yellow i drew a line i drew a line for you oh what a thing to do and it was all yellow    chris jonny  will aah your skin oh yeah your skin and bones ooh turn into something beautiful aah and you know for you i'd bleed myself dry for you i'd bleed myself dry   chris martin it's true look how they shine for you look how they shine for you look how they shine for look how they shine for you look how they shine for you look how they shine   chris martin look at the stars look how they shine for you and all the things that you do,permanent wave
